division,lat,lon
Colombo,6.94169485325631,79.86354435321829
Dehiwala-Mount Lavinia,6.839426506659912,79.87706815381708
Hanwella,6.922381477478933,80.14712517957918
Homagama,6.833018497035361,80.016997543414
Kaduwela,6.901772113273897,79.97633445459037
Kesbewa,6.8017850149742,79.92987970034324
Kolonnawa,6.934393852174595,79.91508983073803
Maharagama,6.854709957476647,79.94119345255017
Moratuwa,6.782074489227856,79.89131721247591
Padukka,6.834026666748021,80.12318555454948
Sri Jayawardanapura Kotte,6.890683873130256,79.89718443962096
Thimbirigasyaya,6.897046230104874,79.86935983688694
